,co_name,symbol,market,asset,co_business,cc,amplitude,pe_s_d,co_intro,exchange,mv,pb_d,ps_d,equity,industry
,N若羽臣,003010,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,N中谷,603565,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,N中天,003009,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,N优彩,002998,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,腾邦国际,300178,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,广哈通信,300711,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,新余国科,300722,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,江龙船艇,300589,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,安达维尔,300719,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,全信股份,300447,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,国新B股,900913,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,国新能源,600617,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,奥锐特,605116,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,百亚股份,003006,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,英特集团,000411,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,振华股份,603067,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,广东骏亚,603386,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,元隆雅图,002878,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,直真科技,003007,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,朝阳科技,002981,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,爱施德,002416,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,百润股份,002568,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,竞业达,003005,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,天元股份,003003,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,东方证券,600958,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,德利股份,605198,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,立昂微,605358,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华文食品,003000,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,岭南控股,000524,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,曙光股份,600303,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,西昌电力,600505,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,众兴菌业,002772,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,东安动力,600178,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,锋龙股份,002931,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中能电气,300062,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,利德曼,300289,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,艾可蓝,300816,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,兄弟科技,002562,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,快意电梯,002774,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,泰林生物,300813,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,星期六,002291,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
